D:\python3.6\python.exe D:/pyprojects/paddle/paper/BayesianCNN/baye_fc_paddle_raw/main.py
2021-08-21 11:53:32,150 | MNIST32: Prep | Loading datasets...
2021-08-21 12:11:00,023 | MNIST32: Epoch: 107 | Train Loss: 7067.3403 | Train Acc: 0.9991 | Val Loss: 3975.5426 | Val Acc: 0.9827 | train_kl_div: 1343662.2997
0it [00:00, ?it/s]Epoch 108: ReduceOnPlateau set learning rate to 0.0002621440000000001.
196it [00:06, 28.16it/s]
2021-08-21 12:11:09,670 | MNIST32: Epoch: 108 | Train Loss: 6909.9082 | Train Acc: 0.9997 | Val Loss: 3532.8123 | Val Acc: 0.9848 | train_kl_div: 1327990.7226
196it [00:07, 27.88it/s]
2021-08-21 12:11:19,350 | MNIST32: Epoch: 109 | Train Loss: 6806.0464 | Train Acc: 0.9999 | Val Loss: 3600.8343 | Val Acc: 0.9841 | train_kl_div: 1311554.7526
196it [00:06, 28.10it/s]
2021-08-21 12:11:28,967 | MNIST32: Epoch: 110 | Train Loss: 6716.7480 | Train Acc: 0.9998 | Val Loss: 3406.5472 | Val Acc: 0.9850 | train_kl_div: 1295290.0867
196it [00:06, 28.02it/s]
2021-08-21 12:11:38,644 | MNIST32: Epoch: 111 | Train Loss: 6630.4380 | Train Acc: 0.9999 | Val Loss: 3286.8714 | Val Acc: 0.9869 | train_kl_div: 1278945.5064
2021-08-21 12:11:38,644 | MNIST32: Val Acc ⬆ (0.9866 --> 0.9869).  Saving model ...
196it [00:07, 27.79it/s]
2021-08-21 12:11:48,574 | MNIST32: Epoch: 112 | Train Loss: 6526.8765 | Train Acc: 1.0000 | Val Loss: 3318.7497 | Val Acc: 0.9847 | train_kl_div: 1262393.5568
196it [00:07, 27.47it/s]
2021-08-21 12:11:58,398 | MNIST32: Epoch: 113 | Train Loss: 6488.1714 | Train Acc: 0.9995 | Val Loss: 3343.0440 | Val Acc: 0.9850 | train_kl_div: 1246054.2149
196it [00:06, 28.10it/s]
2021-08-21 12:12:08,095 | MNIST32: Epoch: 114 | Train Loss: 6470.1748 | Train Acc: 0.9993 | Val Loss: 3884.4005 | Val Acc: 0.9838 | train_kl_div: 1232848.6869
196it [00:07, 25.88it/s]
2021-08-21 12:12:18,527 | MNIST32: Epoch: 115 | Train Loss: 6350.0215 | Train Acc: 0.9996 | Val Loss: 3109.5594 | Val Acc: 0.9843 | train_kl_div: 1218632.1135
196it [00:06, 28.27it/s]
2021-08-21 12:12:28,167 | MNIST32: Epoch: 116 | Train Loss: 6237.8149 | Train Acc: 0.9999 | Val Loss: 3228.4852 | Val Acc: 0.9853 | train_kl_div: 1203207.6569
196it [00:06, 28.52it/s]
2021-08-21 12:12:37,728 | MNIST32: Epoch: 117 | Train Loss: 6140.6812 | Train Acc: 1.0000 | Val Loss: 3245.6425 | Val Acc: 0.9862 | train_kl_div: 1187194.3074
196it [00:06, 28.35it/s]
2021-08-21 12:12:47,352 | MNIST32: Epoch: 118 | Train Loss: 6152.1621 | Train Acc: 0.9993 | Val Loss: 4203.2548 | Val Acc: 0.9820 | train_kl_div: 1171650.3980
196it [00:07, 27.26it/s]
2021-08-21 12:12:57,512 | MNIST32: Epoch: 119 | Train Loss: 6071.2744 | Train Acc: 0.9996 | Val Loss: 3393.4501 | Val Acc: 0.9834 | train_kl_div: 1159206.7736
196it [00:07, 25.33it/s]
2021-08-21 12:13:07,994 | MNIST32: Epoch: 120 | Train Loss: 6041.0674 | Train Acc: 0.9991 | Val Loss: 3187.2584 | Val Acc: 0.9848 | train_kl_div: 1145940.2168
196it [00:06, 28.14it/s]
2021-08-21 12:13:17,680 | MNIST32: Epoch: 121 | Train Loss: 5893.4536 | Train Acc: 0.9998 | Val Loss: 3457.0293 | Val Acc: 0.9838 | train_kl_div: 1132308.7334
196it [00:06, 28.33it/s]
2021-08-21 12:13:27,280 | MNIST32: Epoch: 122 | Train Loss: 5796.8994 | Train Acc: 0.9999 | Val Loss: 3229.5281 | Val Acc: 0.9862 | train_kl_div: 1117617.3635
196it [00:06, 28.49it/s]
2021-08-21 12:13:36,845 | MNIST32: Epoch: 123 | Train Loss: 5723.6880 | Train Acc: 0.9998 | Val Loss: 3457.7015 | Val Acc: 0.9838 | train_kl_div: 1103040.6384
196it [00:07, 27.61it/s]
2021-08-21 12:13:46,820 | MNIST32: Epoch: 124 | Train Loss: 5672.0620 | Train Acc: 0.9997 | Val Loss: 3464.7337 | Val Acc: 0.9838 | train_kl_div: 1089250.6422
196it [00:07, 24.66it/s]
2021-08-21 12:13:57,528 | MNIST32: Epoch: 125 | Train Loss: 5625.0557 | Train Acc: 0.9995 | Val Loss: 3899.0261 | Val Acc: 0.9834 | train_kl_div: 1075330.7079
196it [00:06, 28.25it/s]
2021-08-21 12:14:07,139 | MNIST32: Epoch: 126 | Train Loss: 5748.9600 | Train Acc: 0.9982 | Val Loss: 3636.0704 | Val Acc: 0.9841 | train_kl_div: 1064813.4515
0it [00:00, ?it/s]Epoch 127: ReduceOnPlateau set learning rate to 0.00020971520000000012.
196it [00:06, 28.56it/s]
2021-08-21 12:14:16,657 | MNIST32: Epoch: 127 | Train Loss: 5507.1587 | Train Acc: 0.9995 | Val Loss: 3045.4759 | Val Acc: 0.9860 | train_kl_div: 1055309.8342
196it [00:07, 28.00it/s]
2021-08-21 12:14:26,372 | MNIST32: Epoch: 128 | Train Loss: 5406.1855 | Train Acc: 0.9999 | Val Loss: 3193.6602 | Val Acc: 0.9854 | train_kl_div: 1044149.0367
196it [00:06, 28.23it/s]
2021-08-21 12:14:36,007 | MNIST32: Epoch: 129 | Train Loss: 5352.2124 | Train Acc: 0.9999 | Val Loss: 3400.7592 | Val Acc: 0.9849 | train_kl_div: 1032894.6725
196it [00:06, 28.37it/s]
2021-08-21 12:14:45,594 | MNIST32: Epoch: 130 | Train Loss: 5297.3491 | Train Acc: 0.9998 | Val Loss: 3291.0312 | Val Acc: 0.9842 | train_kl_div: 1021647.2494
196it [00:06, 28.15it/s]
2021-08-21 12:14:55,233 | MNIST32: Epoch: 131 | Train Loss: 5222.3677 | Train Acc: 1.0000 | Val Loss: 3260.0167 | Val Acc: 0.9854 | train_kl_div: 1010474.3913
196it [00:06, 28.19it/s]
2021-08-21 12:15:04,840 | MNIST32: Epoch: 132 | Train Loss: 5178.2861 | Train Acc: 0.9999 | Val Loss: 3484.0755 | Val Acc: 0.9852 | train_kl_div: 999311.6145
196it [00:06, 28.51it/s]
2021-08-21 12:15:14,366 | MNIST32: Epoch: 133 | Train Loss: 5121.6606 | Train Acc: 0.9998 | Val Loss: 3431.8423 | Val Acc: 0.9853 | train_kl_div: 988382.5858
196it [00:06, 28.62it/s]
2021-08-21 12:15:23,873 | MNIST32: Epoch: 134 | Train Loss: 5169.8550 | Train Acc: 0.9992 | Val Loss: 3217.2081 | Val Acc: 0.9844 | train_kl_div: 978858.6496
196it [00:07, 27.96it/s]
2021-08-21 12:15:33,632 | MNIST32: Epoch: 135 | Train Loss: 5036.4702 | Train Acc: 0.9998 | Val Loss: 3129.3149 | Val Acc: 0.9862 | train_kl_div: 969634.5137
196it [00:07, 27.38it/s]
2021-08-21 12:15:43,562 | MNIST32: Epoch: 136 | Train Loss: 5047.4497 | Train Acc: 0.9994 | Val Loss: 3279.8176 | Val Acc: 0.9860 | train_kl_div: 959724.8342
196it [00:07, 27.79it/s]
2021-08-21 12:15:53,389 | MNIST32: Epoch: 137 | Train Loss: 4939.0400 | Train Acc: 0.9998 | Val Loss: 3229.2091 | Val Acc: 0.9845 | train_kl_div: 950223.0918
196it [00:07, 27.80it/s]
Epoch 139: ReduceOnPlateau set learning rate to 0.0001677721600000001.
2021-08-21 12:16:03,360 | MNIST32: Epoch: 138 | Train Loss: 4874.1201 | Train Acc: 0.9999 | Val Loss: 3235.4654 | Val Acc: 0.9861 | train_kl_div: 939787.0733
196it [00:06, 28.01it/s]
2021-08-21 12:16:13,087 | MNIST32: Epoch: 139 | Train Loss: 4815.0234 | Train Acc: 1.0000 | Val Loss: 3120.9658 | Val Acc: 0.9869 | train_kl_div: 931114.6276
196it [00:06, 28.19it/s]
2021-08-21 12:16:22,758 | MNIST32: Epoch: 140 | Train Loss: 4764.7896 | Train Acc: 1.0000 | Val Loss: 3108.7196 | Val Acc: 0.9861 | train_kl_div: 922606.9799
196it [00:06, 28.02it/s]
2021-08-21 12:16:32,441 | MNIST32: Epoch: 141 | Train Loss: 4747.5640 | Train Acc: 0.9998 | Val Loss: 3257.1859 | Val Acc: 0.9863 | train_kl_div: 914274.2175
196it [00:06, 28.31it/s]
2021-08-21 12:16:42,103 | MNIST32: Epoch: 142 | Train Loss: 4691.5522 | Train Acc: 0.9999 | Val Loss: 3042.4828 | Val Acc: 0.9861 | train_kl_div: 906195.3667
196it [00:07, 27.90it/s]
2021-08-21 12:16:51,752 | MNIST32: Epoch: 143 | Train Loss: 4670.8442 | Train Acc: 0.9997 | Val Loss: 3300.7470 | Val Acc: 0.9840 | train_kl_div: 898189.3705
196it [00:06, 28.24it/s]
2021-08-21 12:17:01,476 | MNIST32: Epoch: 144 | Train Loss: 4624.3643 | Train Acc: 0.9998 | Val Loss: 3378.0664 | Val Acc: 0.9858 | train_kl_div: 890598.8045
196it [00:07, 27.75it/s]
2021-08-21 12:17:11,265 | MNIST32: Epoch: 145 | Train Loss: 4600.4517 | Train Acc: 0.9997 | Val Loss: 3765.3959 | Val Acc: 0.9838 | train_kl_div: 883230.2366
196it [00:07, 27.70it/s]
2021-08-21 12:17:21,079 | MNIST32: Epoch: 146 | Train Loss: 4557.5698 | Train Acc: 0.9996 | Val Loss: 3266.9856 | Val Acc: 0.9856 | train_kl_div: 875956.9426
196it [00:06, 28.30it/s]
2021-08-21 12:17:30,682 | MNIST32: Epoch: 147 | Train Loss: 4528.1338 | Train Acc: 0.9996 | Val Loss: 3188.0812 | Val Acc: 0.9858 | train_kl_div: 868585.4834
196it [00:07, 27.80it/s]
2021-08-21 12:17:40,407 | MNIST32: Epoch: 148 | Train Loss: 4492.8979 | Train Acc: 0.9997 | Val Loss: 3381.2600 | Val Acc: 0.9869 | train_kl_div: 861551.6445
196it [00:06, 28.55it/s]
2021-08-21 12:17:49,962 | MNIST32: Epoch: 149 | Train Loss: 4448.9883 | Train Acc: 0.9996 | Val Loss: 3539.7634 | Val Acc: 0.9845 | train_kl_div: 854345.3948
196it [00:06, 28.09it/s]
2021-08-21 12:17:59,606 | MNIST32: Epoch: 150 | Train Loss: 4418.7222 | Train Acc: 0.9996 | Val Loss: 3211.4800 | Val Acc: 0.9860 | train_kl_div: 847259.5252
196it [00:06, 28.46it/s]
2021-08-21 12:18:09,329 | MNIST32: Epoch: 151 | Train Loss: 4381.8833 | Train Acc: 0.9997 | Val Loss: 3442.3767 | Val Acc: 0.9838 | train_kl_div: 840148.4965
196it [00:06, 28.45it/s]
2021-08-21 12:18:18,937 | MNIST32: Epoch: 152 | Train Loss: 4324.6826 | Train Acc: 0.9999 | Val Loss: 3250.8737 | Val Acc: 0.9823 | train_kl_div: 833472.8619
196it [00:07, 27.70it/s]
2021-08-21 12:18:28,685 | MNIST32: Epoch: 153 | Train Loss: 4298.3032 | Train Acc: 0.9998 | Val Loss: 3435.7819 | Val Acc: 0.9840 | train_kl_div: 826291.8036
0it [00:00, ?it/s]Epoch 154: ReduceOnPlateau set learning rate to 0.00013421772800000008.
196it [00:07, 27.71it/s]
2021-08-21 12:18:38,451 | MNIST32: Epoch: 154 | Train Loss: 4238.4785 | Train Acc: 0.9999 | Val Loss: 3132.3202 | Val Acc: 0.9866 | train_kl_div: 820344.5504
196it [00:07, 27.79it/s]
2021-08-21 12:18:48,195 | MNIST32: Epoch: 155 | Train Loss: 4208.0112 | Train Acc: 0.9999 | Val Loss: 3072.7626 | Val Acc: 0.9859 | train_kl_div: 814326.7969
196it [00:07, 27.93it/s]
2021-08-21 12:18:57,929 | MNIST32: Epoch: 156 | Train Loss: 4183.5898 | Train Acc: 0.9999 | Val Loss: 3181.2284 | Val Acc: 0.9851 | train_kl_div: 808399.6936
196it [00:06, 28.11it/s]
2021-08-21 12:19:07,597 | MNIST32: Epoch: 157 | Train Loss: 4164.8105 | Train Acc: 0.9998 | Val Loss: 3432.7864 | Val Acc: 0.9844 | train_kl_div: 802709.8103
196it [00:06, 28.36it/s]
2021-08-21 12:19:17,143 | MNIST32: Epoch: 158 | Train Loss: 4154.3198 | Train Acc: 0.9997 | Val Loss: 3193.7298 | Val Acc: 0.9855 | train_kl_div: 797256.3887
196it [00:06, 28.73it/s]
2021-08-21 12:19:26,591 | MNIST32: Epoch: 159 | Train Loss: 4116.4585 | Train Acc: 0.9997 | Val Loss: 3381.8682 | Val Acc: 0.9829 | train_kl_div: 791808.5242
196it [00:06, 28.46it/s]
2021-08-21 12:19:36,107 | MNIST32: Epoch: 160 | Train Loss: 4075.0195 | Train Acc: 0.9998 | Val Loss: 3348.0484 | Val Acc: 0.9838 | train_kl_div: 786378.4401
196it [00:06, 28.70it/s]
2021-08-21 12:19:45,594 | MNIST32: Epoch: 161 | Train Loss: 4043.2012 | Train Acc: 0.9998 | Val Loss: 3523.1932 | Val Acc: 0.9829 | train_kl_div: 780693.4174
196it [00:06, 28.59it/s]
2021-08-21 12:19:55,089 | MNIST32: Epoch: 162 | Train Loss: 4013.2634 | Train Acc: 0.9999 | Val Loss: 3276.8045 | Val Acc: 0.9853 | train_kl_div: 775106.1652
196it [00:06, 28.54it/s]
2021-08-21 12:20:04,640 | MNIST32: Epoch: 163 | Train Loss: 4007.9993 | Train Acc: 0.9996 | Val Loss: 3217.8251 | Val Acc: 0.9855 | train_kl_div: 769682.7624
196it [00:06, 28.69it/s]
2021-08-21 12:20:14,139 | MNIST32: Epoch: 164 | Train Loss: 3989.5220 | Train Acc: 0.9996 | Val Loss: 3493.8555 | Val Acc: 0.9818 | train_kl_div: 764587.4560
0it [00:00, ?it/s]Epoch 165: ReduceOnPlateau set learning rate to 0.00010737418240000007.
196it [00:06, 28.87it/s]
2021-08-21 12:20:23,574 | MNIST32: Epoch: 165 | Train Loss: 3938.7649 | Train Acc: 0.9998 | Val Loss: 3165.2477 | Val Acc: 0.9846 | train_kl_div: 760341.3272
196it [00:06, 28.57it/s]
2021-08-21 12:20:33,075 | MNIST32: Epoch: 166 | Train Loss: 3918.4424 | Train Acc: 0.9998 | Val Loss: 3328.7011 | Val Acc: 0.9833 | train_kl_div: 756098.6256
196it [00:06, 28.76it/s]
2021-08-21 12:20:42,519 | MNIST32: Epoch: 167 | Train Loss: 3880.6655 | Train Acc: 0.9999 | Val Loss: 3068.6635 | Val Acc: 0.9844 | train_kl_div: 751774.0099
196it [00:06, 28.52it/s]
2021-08-21 12:20:52,022 | MNIST32: Epoch: 168 | Train Loss: 3873.5168 | Train Acc: 0.9998 | Val Loss: 3293.8568 | Val Acc: 0.9842 | train_kl_div: 747349.6540
196it [00:06, 28.24it/s]
2021-08-21 12:21:01,729 | MNIST32: Epoch: 169 | Train Loss: 3847.2393 | Train Acc: 0.9999 | Val Loss: 3165.2051 | Val Acc: 0.9848 | train_kl_div: 743176.3779
196it [00:06, 28.23it/s]
2021-08-21 12:21:11,360 | MNIST32: Epoch: 170 | Train Loss: 3820.8416 | Train Acc: 0.9999 | Val Loss: 3200.6408 | Val Acc: 0.9842 | train_kl_div: 738890.0612
196it [00:07, 27.40it/s]
2021-08-21 12:21:21,410 | MNIST32: Epoch: 171 | Train Loss: 3806.1675 | Train Acc: 0.9998 | Val Loss: 3032.4144 | Val Acc: 0.9843 | train_kl_div: 734563.0762
196it [00:07, 27.59it/s]
2021-08-21 12:21:31,413 | MNIST32: Epoch: 172 | Train Loss: 3802.9731 | Train Acc: 0.9997 | Val Loss: 3507.8594 | Val Acc: 0.9840 | train_kl_div: 730533.9908
196it [00:07, 26.91it/s]
2021-08-21 12:21:41,520 | MNIST32: Epoch: 173 | Train Loss: 3764.1084 | Train Acc: 0.9998 | Val Loss: 3323.3024 | Val Acc: 0.9846 | train_kl_div: 726529.3967
196it [00:07, 26.65it/s]
2021-08-21 12:21:51,646 | MNIST32: Epoch: 174 | Train Loss: 3744.0571 | Train Acc: 0.9999 | Val Loss: 3493.9955 | Val Acc: 0.9841 | train_kl_div: 722399.1865
196it [00:07, 27.94it/s]
2021-08-21 12:22:01,358 | MNIST32: Epoch: 175 | Train Loss: 3717.8542 | Train Acc: 0.9999 | Val Loss: 3092.8376 | Val Acc: 0.9862 | train_kl_div: 718275.2293
196it [00:07, 27.61it/s]
2021-08-21 12:22:11,150 | MNIST32: Epoch: 176 | Train Loss: 3722.3096 | Train Acc: 0.9997 | Val Loss: 3403.4006 | Val Acc: 0.9834 | train_kl_div: 714314.4978
196it [00:06, 28.44it/s]
2021-08-21 12:22:20,768 | MNIST32: Epoch: 177 | Train Loss: 3699.9053 | Train Acc: 0.9996 | Val Loss: 3297.1259 | Val Acc: 0.9838 | train_kl_div: 710482.0010
196it [00:06, 28.31it/s]
2021-08-21 12:22:30,358 | MNIST32: Epoch: 178 | Train Loss: 3658.1636 | Train Acc: 0.9999 | Val Loss: 3340.3356 | Val Acc: 0.9829 | train_kl_div: 706638.6614
196it [00:07, 27.89it/s]
2021-08-21 12:22:40,033 | MNIST32: Epoch: 179 | Train Loss: 3635.3018 | Train Acc: 0.9999 | Val Loss: 3209.8626 | Val Acc: 0.9854 | train_kl_div: 702646.8737
196it [00:06, 28.20it/s]
2021-08-21 12:22:49,645 | MNIST32: Epoch: 180 | Train Loss: 3625.3049 | Train Acc: 0.9998 | Val Loss: 3299.3295 | Val Acc: 0.9827 | train_kl_div: 698820.3163
196it [00:06, 28.29it/s]
2021-08-21 12:22:59,250 | MNIST32: Epoch: 181 | Train Loss: 3628.2249 | Train Acc: 0.9997 | Val Loss: 3463.9564 | Val Acc: 0.9842 | train_kl_div: 695083.6920
196it [00:06, 28.10it/s]
2021-08-21 12:23:08,880 | MNIST32: Epoch: 182 | Train Loss: 3591.8013 | Train Acc: 0.9998 | Val Loss: 3334.8215 | Val Acc: 0.9841 | train_kl_div: 691553.6499
0it [00:00, ?it/s]Epoch 183: ReduceOnPlateau set learning rate to 8.589934592000007e-05.
196it [00:06, 28.56it/s]
2021-08-21 12:23:18,399 | MNIST32: Epoch: 183 | Train Loss: 3561.6128 | Train Acc: 0.9999 | Val Loss: 3159.1023 | Val Acc: 0.9836 | train_kl_div: 688466.8626
196it [00:06, 28.59it/s]
2021-08-21 12:23:27,880 | MNIST32: Epoch: 184 | Train Loss: 3546.7549 | Train Acc: 0.9998 | Val Loss: 3216.3033 | Val Acc: 0.9860 | train_kl_div: 685316.1543
196it [00:06, 28.68it/s]
2021-08-21 12:23:37,356 | MNIST32: Epoch: 185 | Train Loss: 3524.8982 | Train Acc: 0.9999 | Val Loss: 3014.6062 | Val Acc: 0.9873 | train_kl_div: 682190.2567
2021-08-21 12:23:37,356 | MNIST32: Val Acc ⬆ (0.9869 --> 0.9873).  Saving model ...
196it [00:06, 28.20it/s]
2021-08-21 12:23:47,169 | MNIST32: Epoch: 186 | Train Loss: 3526.8188 | Train Acc: 0.9997 | Val Loss: 3258.0385 | Val Acc: 0.9847 | train_kl_div: 679123.1027
196it [00:07, 26.43it/s]
2021-08-21 12:23:57,975 | MNIST32: Epoch: 187 | Train Loss: 3501.4534 | Train Acc: 0.9998 | Val Loss: 3010.6398 | Val Acc: 0.9865 | train_kl_div: 676169.9394
196it [00:07, 27.87it/s]
2021-08-21 12:24:07,746 | MNIST32: Epoch: 188 | Train Loss: 3482.4883 | Train Acc: 0.9999 | Val Loss: 3193.5110 | Val Acc: 0.9867 | train_kl_div: 673186.1253
196it [00:07, 27.97it/s]
2021-08-21 12:24:17,451 | MNIST32: Epoch: 189 | Train Loss: 3466.2273 | Train Acc: 0.9999 | Val Loss: 3184.8853 | Val Acc: 0.9846 | train_kl_div: 670069.1668
196it [00:06, 28.33it/s]
2021-08-21 12:24:27,049 | MNIST32: Epoch: 190 | Train Loss: 3445.8706 | Train Acc: 0.9999 | Val Loss: 2972.2515 | Val Acc: 0.9860 | train_kl_div: 666988.9640
196it [00:06, 28.44it/s]
2021-08-21 12:24:36,631 | MNIST32: Epoch: 191 | Train Loss: 3440.3833 | Train Acc: 0.9999 | Val Loss: 3240.7393 | Val Acc: 0.9845 | train_kl_div: 663905.1269
196it [00:06, 28.52it/s]
2021-08-21 12:24:46,132 | MNIST32: Epoch: 192 | Train Loss: 3418.3706 | Train Acc: 0.9999 | Val Loss: 3322.3664 | Val Acc: 0.9825 | train_kl_div: 660882.9869
196it [00:06, 28.60it/s]
2021-08-21 12:24:55,624 | MNIST32: Epoch: 193 | Train Loss: 3414.2458 | Train Acc: 0.9999 | Val Loss: 3159.0977 | Val Acc: 0.9840 | train_kl_div: 657912.1518
196it [00:06, 28.36it/s]
2021-08-21 12:25:05,187 | MNIST32: Epoch: 194 | Train Loss: 3398.6487 | Train Acc: 0.9998 | Val Loss: 3047.0836 | Val Acc: 0.9864 | train_kl_div: 654963.6476
196it [00:06, 28.78it/s]
2021-08-21 12:25:14,636 | MNIST32: Epoch: 195 | Train Loss: 3394.7041 | Train Acc: 0.9997 | Val Loss: 3074.4653 | Val Acc: 0.9853 | train_kl_div: 652183.1129
196it [00:06, 28.04it/s]
2021-08-21 12:25:24,316 | MNIST32: Epoch: 196 | Train Loss: 3374.1189 | Train Acc: 0.9998 | Val Loss: 3004.3575 | Val Acc: 0.9858 | train_kl_div: 649518.0287
196it [00:06, 28.40it/s]
2021-08-21 12:25:33,859 | MNIST32: Epoch: 197 | Train Loss: 3351.4185 | Train Acc: 0.9998 | Val Loss: 3023.5042 | Val Acc: 0.9848 | train_kl_div: 646732.2452
196it [00:06, 28.78it/s]
2021-08-21 12:25:43,293 | MNIST32: Epoch: 198 | Train Loss: 3344.0371 | Train Acc: 0.9998 | Val Loss: 3285.9939 | Val Acc: 0.9837 | train_kl_div: 643931.5985
196it [00:06, 28.50it/s]
2021-08-21 12:25:52,806 | MNIST32: Epoch: 199 | Train Loss: 3327.2773 | Train Acc: 0.9999 | Val Loss: 3266.7955 | Val Acc: 0.9829 | train_kl_div: 641234.0976
196it [00:06, 28.45it/s]
2021-08-21 12:26:02,405 | MNIST32: Epoch: 200 | Train Loss: 3305.3594 | Train Acc: 0.9999 | Val Loss: 3208.1709 | Val Acc: 0.9849 | train_kl_div: 638435.7506
196it [00:06, 28.75it/s]
2021-08-21 12:26:12,011 | MNIST32: Epoch: 201 | Train Loss: 3305.9868 | Train Acc: 0.9998 | Val Loss: 3149.4135 | Val Acc: 0.9854 | train_kl_div: 635643.2267
0it [00:00, ?it/s]Epoch 202: ReduceOnPlateau set learning rate to 6.871947673600006e-05.
196it [00:06, 28.84it/s]
2021-08-21 12:26:21,450 | MNIST32: Epoch: 202 | Train Loss: 3285.6101 | Train Acc: 0.9999 | Val Loss: 3173.5110 | Val Acc: 0.9863 | train_kl_div: 633470.2911
196it [00:06, 28.30it/s]
2021-08-21 12:26:31,021 | MNIST32: Epoch: 203 | Train Loss: 3274.7136 | Train Acc: 0.9998 | Val Loss: 3150.2708 | Val Acc: 0.9848 | train_kl_div: 631331.0886
196it [00:06, 28.72it/s]
2021-08-21 12:26:40,495 | MNIST32: Epoch: 204 | Train Loss: 3255.1094 | Train Acc: 0.9999 | Val Loss: 3095.9174 | Val Acc: 0.9862 | train_kl_div: 629109.7765
196it [00:06, 28.69it/s]
2021-08-21 12:26:49,987 | MNIST32: Epoch: 205 | Train Loss: 3245.4739 | Train Acc: 0.9999 | Val Loss: 3209.4653 | Val Acc: 0.9863 | train_kl_div: 626893.5587
196it [00:06, 28.58it/s]
2021-08-21 12:26:59,488 | MNIST32: Epoch: 206 | Train Loss: 3237.2910 | Train Acc: 0.9998 | Val Loss: 3118.0483 | Val Acc: 0.9846 | train_kl_div: 624709.5941
196it [00:06, 28.73it/s]
2021-08-21 12:27:08,939 | MNIST32: Epoch: 207 | Train Loss: 3224.8958 | Train Acc: 0.9999 | Val Loss: 3192.6286 | Val Acc: 0.9859 | train_kl_div: 622551.7701
196it [00:06, 28.23it/s]
2021-08-21 12:27:18,525 | MNIST32: Epoch: 208 | Train Loss: 3212.1028 | Train Acc: 0.9999 | Val Loss: 3038.0947 | Val Acc: 0.9861 | train_kl_div: 620394.2704
196it [00:06, 28.68it/s]
2021-08-21 12:27:27,987 | MNIST32: Epoch: 209 | Train Loss: 3194.0957 | Train Acc: 0.9999 | Val Loss: 3058.3779 | Val Acc: 0.9869 | train_kl_div: 618194.1687
196it [00:06, 28.91it/s]
2021-08-21 12:27:37,386 | MNIST32: Epoch: 210 | Train Loss: 3189.4316 | Train Acc: 0.9999 | Val Loss: 3101.3126 | Val Acc: 0.9862 | train_kl_div: 615974.0867
196it [00:06, 28.90it/s]
2021-08-21 12:27:46,779 | MNIST32: Epoch: 211 | Train Loss: 3185.9917 | Train Acc: 0.9998 | Val Loss: 3346.9401 | Val Acc: 0.9843 | train_kl_div: 613840.1556
196it [00:06, 28.91it/s]
2021-08-21 12:27:56,281 | MNIST32: Epoch: 212 | Train Loss: 3177.9697 | Train Acc: 0.9998 | Val Loss: 3091.1713 | Val Acc: 0.9864 | train_kl_div: 611744.1142
0it [00:00, ?it/s]Epoch 213: ReduceOnPlateau set learning rate to 5.497558138880005e-05.
196it [00:06, 28.38it/s]
2021-08-21 12:28:05,839 | MNIST32: Epoch: 213 | Train Loss: 3160.3247 | Train Acc: 0.9998 | Val Loss: 3222.8438 | Val Acc: 0.9835 | train_kl_div: 609986.1409
196it [00:06, 28.65it/s]
2021-08-21 12:28:15,298 | MNIST32: Epoch: 214 | Train Loss: 3148.6794 | Train Acc: 0.9999 | Val Loss: 3181.3301 | Val Acc: 0.9854 | train_kl_div: 608280.8945
196it [00:06, 28.93it/s]
2021-08-21 12:28:24,715 | MNIST32: Epoch: 215 | Train Loss: 3143.3335 | Train Acc: 0.9999 | Val Loss: 3142.6321 | Val Acc: 0.9852 | train_kl_div: 606566.4939
196it [00:06, 28.88it/s]
2021-08-21 12:28:34,115 | MNIST32: Epoch: 216 | Train Loss: 3139.7678 | Train Acc: 0.9997 | Val Loss: 3304.6062 | Val Acc: 0.9851 | train_kl_div: 604867.6307
196it [00:06, 28.82it/s]
2021-08-21 12:28:43,529 | MNIST32: Epoch: 217 | Train Loss: 3120.8950 | Train Acc: 0.9999 | Val Loss: 3092.5562 | Val Acc: 0.9854 | train_kl_div: 603232.6684
196it [00:06, 28.56it/s]
2021-08-21 12:28:53,030 | MNIST32: Epoch: 218 | Train Loss: 3108.2383 | Train Acc: 0.9999 | Val Loss: 3089.1960 | Val Acc: 0.9847 | train_kl_div: 601541.6336
196it [00:06, 28.80it/s]
2021-08-21 12:29:02,554 | MNIST32: Epoch: 219 | Train Loss: 3106.4548 | Train Acc: 0.9998 | Val Loss: 3081.6111 | Val Acc: 0.9847 | train_kl_div: 599834.5906
196it [00:06, 28.78it/s]
2021-08-21 12:29:11,989 | MNIST32: Epoch: 220 | Train Loss: 3096.6741 | Train Acc: 0.9998 | Val Loss: 3225.4245 | Val Acc: 0.9838 | train_kl_div: 598145.1846
196it [00:06, 28.72it/s]
2021-08-21 12:29:21,449 | MNIST32: Epoch: 221 | Train Loss: 3084.7632 | Train Acc: 0.9999 | Val Loss: 3002.7315 | Val Acc: 0.9843 | train_kl_div: 596456.1250
196it [00:06, 28.75it/s]
2021-08-21 12:29:30,882 | MNIST32: Epoch: 222 | Train Loss: 3076.8154 | Train Acc: 0.9999 | Val Loss: 3189.1138 | Val Acc: 0.9850 | train_kl_div: 594734.7082
196it [00:06, 28.80it/s]
